name,address,city,state
William Jessup University,333 Sunset Blvd.,Rocklin,California
San Jose-Evergreen Community College District,4750 San Felipe Rd,San Jose,California
San Jose City College,2100 Moorpark Ave,San Jose,California
San Jose State University,1 Washington Sq,San Jose,California
San Mateo County Community College District Office,3401 CSM Drive,San Mateo,California
College of San Mateo,1700 W Hillsdale Blvd,San Mateo,California
Santa Barbara Business College-Bakersfield,5300 California Avenue,Bakersfield,California
Westwood College-Los Angeles,3250 Wilshire Blvd Ste 400,Los Angeles,California
Santa Barbara Business College-Santa Maria,303 E Plaza Dr Ste 1,Santa Maria,California
Santa Barbara City College,721 Cliff Drive,Santa Barbara,California
Santa Clara University,500 El Camino Real,Santa Clara,California
Santa Monica College,1900 Pico Blvd,Santa Monica,California
Santa Rosa Junior College,1501 Mendocino Avenue,Santa Rosa,California
Saybrook University,747 Front Street 3rd Fl.,San Francisco,California
Scripps College,1030 North Columbia Avenue,Claremont,California
Wyotech-Fremont,200 Whitney Place,Fremont,California
College of the Sequoias,915 S Mooney Blvd,Visalia,California
Shasta Bible College and Graduate School,2951 Goodwater Ave.,Redding,California
Shasta College,11555 Old Oregon Trail,Redding,California
Sierra College,5000 Rocklin Road,Rocklin,California
Sierra Valley College of Court Reporting,4747 N First St Bldg D,Fresno,California
Trinity Law School,2200 N Grand Ave,Santa Ana,California
Simpson University,2211 College View Drive,Redding,California
College of the Siskiyous,800 College Ave,Weed,California
Charles A Jones Career and Education Center,5451 Lemon Hill Ave,Sacramento,California
